1gram,freq1,2gram,freq2,3gram,freq3,4gram,freq4,5gram,freq5,6gram,freq6
courent,210,au pays,238,sur un fauteuil,84,les entrailles de la,24,les éclaircissements à la fin,8,on pense qu'il quitte son plaisir,4
club,210,au bal,238,autour du cou,84,mais si je ne,24,de la guerre civile et,8,des sauvages pour me dissuader mon,4
détermination,210,encore moins,238,puis quand il,84,le centre de gravité,24,yeux de la jeune fille,8,de smyrne après avoir touché à,4
violettes,210,du parti,238,contre la france,84,ce qui tient à,24,allait et venait par la,8,de ses désirs et qui maintenant,4
élu,210,la lumiere,238,mettre à table,84,milieu de tout cela,24,pour la première fois cette,8,dans le cadre de la porte,4
estelle,210,les forêts,238,moyen de se,84,depuis que je vous,24,je me fie à vous,8,et cela est si vrai que,4
contribué,210,pierre de,238,dans la glace,84,à la fois en,24,compte de ce que je,8,nous l'avons dit tout à l'heure,4
réduits,210,un nouvel,238,pour qu'on ne,84,quelque chose de bon,24,que ce n'est pas sans,8,sur lui ou chez son père,4
dépasse,210,comme sa,238,pour n'avoir pas,84,la chaleur du soleil,24,de la terre à la,8,s'il y a quelque chose de,4
indépendamment,210,jeter dans,238,par exemple le,84,à la rue de,24,la prison de la ville,8,y a plus de dix ans,4
tapage,210,est mon,238,dans la voie,84,le comte de saint-germain,24,de la rue du rocher,8,elle s'en sert utilement contre les,4
clou,210,genoux et,238,tous à la,84,dans tout le cours,24,tout ce que vous pourrez,8,membre de l'académie française et de,4
affectait,210,nature des,238,le octobre ,84,nous avons le temps,24,on ne se gêne pas,8,ce ne sont plus les mêmes,4
chaudière,210,mettait à,238,les marchands de,84,c'est bien le moins,24,dans la salle de bal,8,à cheval de la garde impériale,4
isolés,210,le tombeau,237,le ciel de,84,si je ne le,24,de ce qui avait été,8,concevons fort clairement et fort distinctement,4
creusé,210,songeait à,237,il ne doit,84,toutes les branches de,24,à la pointe de l'île,8,la ruine du prochain plaît aux,4
communément,210,ses hommes,237,de la magie,84,cf l  la,24,ce que je ne suis,8,élève sans le savoir un grand,4
suède,210,parmi nous,237,à cause que,84,je le vois bien,24,tous les hommes qui ont,8,la mort sic vivendum sic pereundum,4
affirmer,210,père en,237,de sa santé,84,de la partie de,24,mais je n'eus pas le,8,l'empire sect hist jj p fo,4
reines,210,valeur de,237,quand je serai,84,air à la fois,24,des choses que je ne,8,souvent plus de réputation que le,4
trompez,210,et alla,237,c'est à cette,84,de la table où,24,prit le parti de rire,8,lui sont point avantageuses et qui,4
pêcheurs,210,ni même,237,ne seront pas,84,afin de ne point,24,on ne voit pas que,8,le désir de paraître habile empêche,4
corral,210,point où,237,de six mois,84,dans le moment où,24,laquelle il n'y a pas,8,se mettait à la fenêtre pour,4
pétersbourg,210,par lui-même,237,ces jeunes filles,84,la nuit de la,24,sur le reste de la,8,peu à peu à la vie,4
poignet,210,il tomba,237,n'est que la,84,mille francs que je,24,il ne la laissa pas,8,jamais personne sans intérêt la louange,4
attacher,210,nous fûmes,237,sur un petit,84,de la femme que,24,le jour de sa fête,8,sous le patronage de l'université laval,4
d'alexandrie,210,ses filles,237,et se fit,84,dans ce dernier cas,24,dans le ton de la,8,un homme et une femme qui,4
mangent,210,les rideaux,237,le germinal an,84,dans le cercle de,24,jeta un coup d'oeil rapide,8,gouttes froides sur ces lèvres balbutiantes,4
dévoré,210,oui dit,237,alors que les,84,les premiers jours du,24,ne suis pas assez riche,8,de cinquante mille francs de rente,4
d'alençon,209,au haut,237,à peine et,84,sur la terre la,24,s exc le ministre de,8,avait demandé la communion et à,4
valeurs,209,ce titre,237,si nous avions,84,le droit de vous,24,mais il ne s'agit pas,8,un très petit nombre de cas,4
royales,209,passer par,237,onze heures et,84,les bornes de la,24,vivre en bonne intelligence avec,8,comme aurait pu le faire un,4
indignation,209,passé et,237,à vingt ans,84,le jour où nous,24,le mal pour le mal,8,et voilà ce qui fait que,4
taillis,209,écrit à,237,de ce même,84,est bien difficile de,24,maison de la rue des,8,se promenait dans les rues de,4
étendit,209,de l'orient,237,une affaire de,84,la cour de l'hôtel,24,m le prince de talleyrand,8,est une inconstance perpétuelle qui fait,4
adroit,209,sans raison,237,mme de maintenon,84,la jeune femme était,24,y a encore un autre,8,cesse de vivre dès qu'il cesse,4
accorde,209,profiter de,237,et ne les,84,fois que je vous,24,ce que je dis est,8,tromper soi-même sans s'en apercevoir qu'il,4
mystique,209,mérite de,237,comme l et,84,chez un marchand de,24,il y a un instant,8,que je lui ai donné il,4
client,209,point une,237,à la ligne,84,où se trouvaient les,24,soubz le scel de vostre,8,je te dis que je ne,4
austère,209,cap de,237,ses yeux il,84,perpétuel de l'académie des,24,dans les plus petits détails,8,ne pas dire un mot de,4
vérifier,209,monde se,237,et ne vous,84,le reste de mes,24,il est difficile de comprendre,8,pas aisément ce qui est au-delà,4
l'escadre,209,sur deux,237,la vie je,84,pour ainsi dire les,24,qu'il y avait là une,8,tout est rompu c'est à reffaire,4
romaines,209,la rage,237,que la ville,84,doigt sur ses lèvres,24,je ne sais s'il y,8,où on s'y attend le moins,4
lamentable,209,sais quel,237,et le fils,84,que celles de la,24,je ne sais plus que,8,une prime de deux cents livres,4
emploie,209,groupe de,237,mais ce sont,84,rivages de la mer,24,le sens de ces paroles,8,ce ne sont pas les moins,4
pénétra,209,ses beaux,236,près de vous,84,et de ses amis,24,il faut donc que vous,8,je ferai ce que tu voudras,4
aînée,209,le territoire,236,les coins de,84,pas vers la porte,24,s'il ne s'agissait que de,8,conjure sa perte il travaille même,4
salomon,209,bas à,236,que la grande,84,toujours à la même,24,sur la fin de sa,8,qui ne lui sont point avantageuses,4
bassins,209,non le,236,il lui fallut,84,tu ne vas pas,24,la promesse qu'il avait faite,8,ce qui est le propre de,4
habillée,209,les secrets,236,du même coup,84,les passions et les,24,à travers les fentes de,8,la préférence à l'une tantôt à,4
fondement,209,monde entier,236,le salut de,84,au milieu des champs,24,mais il y avait dans,8,des hommes des femmes des enfants,4
cercles,209,disent les,236,cependant il ne,84,qu'il n'y avait que,24,directoire exécutif de la république,8,rapport général que l'on remarque entre,4
blesser,209,un brave,236,même temps un,84,comme tous les gens,24,la nuit se passa sans,8,des arts et bibliothécaire de l'université,4
chargées,209,parvenir à,236,dans la position,84,de vingt et un,24,dans une salle à manger,8,ses pensées et de ses éternels,4
assés,209,ces lieux,236,une voix de,84,bas de la côte,24,mais il y a tant,8,sagard hist du canada p et,4
villa,209,des membres,236,de plus beau,84,le produit de la,24,un écu de six francs,8,je ne doute pas que la,4
antoine,209,ne songeait,236,lui dans la,84,le service du roi,24,se mit à causer avec,8,tous les avantages dont nous venons,4
gâté,209,est parti,236,il n'eut pas,84,sur la vie et,24,les deux battants de la,8,la personne que nous aimons donnant,4
présentée,209,de l'asie,236,les peuples qui,84,vous me dites là,24,pas un mot de la,8,sais plus ce que je dis,4
s'ouvrir,209,ce rapport,236,sur la manière,84,et au fond de,24,le ventre de son cheval,8,est aussi aisé de se tromper,4
préparée,209,vers de,236,il avait fallu,84,au pain et à,24,de la valachie et de,8,que le duc et la duchesse,4
paquebot,209,vous à,236,la france de,84,de la vie c'est,24,dans son ensemble et dans,8,n'eut que le temps de crier,4
production,209,porte il,236,vous ai fait,84,que les autres il,24,un mot de ce qui,8,milan le prairial an juin ,4
assiettes,209,l'oreille de,236,la bouche ouverte,84,en tout cas elle,24,les premiers temps de son,8,c'est moi qui ai mis le,4
sommaire,209,compter sur,236,ne faut-il pas,84,non ce n'était pas,24,y en avait une qui,8,la première fois que je vois,4
l'hospitalité,208,vous n'en,236,de si près,84,par une série de,24,je ne m'en souviens plus,8,souvent de choses indifférentes à leur,4
arrivera,208,veut que,236,à la clarté,84,poche de son gilet,24,qui avait pour but de,8,préférence à l'une tantôt à l'autre,4
conférence,208,pointe du,236,moi je le,83,nous avons dit que,24,par °' de latitude et,8,contribuer aux dépenses publiques les autres,4
exercice,208,la malheureuse,236,la capitale de,83,il ne s'agissait que,24,du devoir et de la,8,mais il y en avait une,4
projectile,208,même manière,236,la mort dans,83,dans la première partie,24,et je me souviens que,8,qu'il se passait quelque chose d'extraordinaire,4
pierrotte,208,son enfance,236,maintenant que je,83,dans une petite ville,24,tous les pays et de,8,même temps qu'il se ruine en,4
couvercle,208,idées et,236,le sort des,83,le droit des gens,24,rien n'est si contagieux que,8,qu'il n'y a point d'heureux ni,4
fassent,208,chambre du,236,m de cambremer,83,vous dites que vous,24,et la gloire de la,8,que je viens de vous lire,4
inverse,208,à gagner,236,vous me le,83,la mort de ma,24,et le pis était que,8,que nous avons en nos forests,4
accueilli,208,la qualité,236,une occasion de,83,pas plus que la,24,à la maison de ville,8,elle mais la fortune qui fait,4
déchiré,208,veille de,236,la bouche du,83,au lieu de et,24,temps vole à moi promptement,8,mais je ne me sens pas,4
suisses,208,il monta,236,du feu et,83,il est bien plus,24,sous la surveillance de la,8,raison quand on n'espère plus d'en,4
d'ajouter,208,pas qui,236,de trois ou,83,fait partie de la,24,je ne vois pas qu'il,8,qu'il poursuit parce qu'il les veut,4
portugais,208,au long,236,le mettre en,83,lettre de la rochefoucauld,24,il y a de cela,8,ne me reste plus qu'à vous,4
fréquentes,208,veux bien,236,même pour les,83,nous avons besoin de,24,de tous les honnêtes gens,8,je ne veux pas m'exposer à,4
vaillance,208,la hâte,236,ne pouvait lui,83,il est vrai à,24,de quatre à cinq mille,8,et c'est pour cela qu'il est,4
quérir,208,toutes leurs,236,du roi qui,83,son entrée dans le,24,à peu près dans la,8,qu'on est heureux et non pas,4
saumur,208,ne vaut,236,être à la,83,de son mariage avec,24,au milieu de la vaste,8,pays français français français français français,4
dent,208,le midi,236,toutes les sciences,83,que les habitants de,24,au bas de la tour,8,armée allant à leur propre gloire,4
employée,208,d'une si,236,tels sont les,83,autour de la terre,24,ce n'est pas à nous,8,brousse à beyrouth par angora et,4
royaumes,208,une nation,236,an avril ,83,de l'honneur et de,24,je suis sûre que je,8,un mot de ce que vous,4
récolte,208,& des,236,mon ami je,83,le roy de france,24,la sueur de son front,8,perception de tout sentiment sa chair,4
décoration,208,tâcher de,236,à son amant,83,le regard de la,24,que voulez-vous que je vous,8,qu'un art avec lequel ils savent,4
habite,208,d'une vie,236,dans la montagne,83,de mon côté je,24,en est de même en,8,la pointe de tous les diables,4
promettant,208,et dieu,236,de fatigue et,83,de commun avec les,24,ça ne peut pas durer,8,après avoir touché à naples et,4
d'avis,208,on allait,236,nous n'avons plus,83,savoir ce que c'est,24,le à dix heures du,8,mais il y a autre chose,4
vallon,208,il arrivait,235,du moins que,83,et il en était,24,je ne serais pas étonné,8,tout ce qui leur estoit necessaire,4
possèdent,208,encore elle,235,la grande ville,83,qui lui sont propres,24,quant à ce qui est,8,un point de vue plus général,4
secondaire,208,le christianisme,235,mr fogg et,83,mort de son frère,24,le chemin de la maison,8,personne que nous aimons donnant tantôt,4
peintes,208,pour entrer,235,comme le plus,83,la mer rouge et,24,il y avait encore les,8,talm de bab même traité b,4
assavoir,208,pied sur,235,à la nouvelle,83,et du côté de,24,je suis prêt à me,8,jamais un mot plus haut que,4
augmentait,208,le verre,235,qui a de,83,dire quelque chose de,24,mais je ne puis m'empêcher,8,la part de lord de winter,4
dépassé,208,êtes bien,235,celle que nous,83,corps du maréchal davoust,24,tandis que les deux autres,8,continuelle c'est la fièvre de la,4
oubliait,208,mis le,235,une chose que,83,eut le courage de,24,l'amitié que j'ai pour vous,8,état paisible et conservent l'usage libre,4
bossuet,208,les vitres,235,les deux frères,83,la face du monde,24,un signe de tête à,8,le directeur du comptoir général de,4
démons,207,que parce,235,lui dis que,83,un quart d'heure à,24,que ce n'est pas le,8,quelque soin qu'on prenne de les,4
san,207,nous avait,235,de la crainte,83,de la cour la,24,que ce ne fut pas,8,a une infinité de conduites qui,4
bûcher,207,villes de,235,côtés de la,83,à la messe et,24,que nous avons en france,8,je te dirai qui tu es,4
parrain,207,la lisière,235,sur les dalles,83,de la valeur de,24,fit un signe de croix,8,secours aux autres pour les engager,4
mensonges,207,du papier,235,au fond il,83,au moment de son,24,le sang de ses veines,8,le sacrement que l'on disposait en,4
el,207,quoi je,235,ne faudrait pas,83,vous êtes un brave,24,plus que tout le reste,8,faire une juste idée de la,4
assassins,207,encore je,235,au point où,83,que tout à coup,24,l'auteur de l'esprit des lois,8,des grans biens de ma seigneurie,4
tenons,207,un souvenir,235,n'ont pas été,83,toute sa vie et,24,avait quelque chose de plus,8,et il lui semblait que cette,4
conseillers,207,n'y aurait,235,tout mon cœur,83,pour entrer dans le,24,ce que c'est que l'amour,8,vient que si peu de gens,4
l'évêché,207,un prêtre,235,il n'a point,83,y a de ces,24,ce n'est pas la faute,8,mon conducteur convaincu de mensonge &,4
condamnation,207,de marguerite,235,de sa position,83,elle lui dit qu'elle,24,je ne m'étais pas trompé,8,lieu que tu fasses un nouveau,4
baissait,207,ou huit,235,homme de la,83,il n'avait pas le,24,de tout le poids de,8,dans sa chambre au pain et,4
saurai,207,la réunion,235,tous les plaisirs,83,de moi et de,24,depuis cinq ou six ans,8,plus loin comme des papillons blancs,4
lectures,207,les environs,235,au pied d'un,83,à la station de,24,à la princesse de parme,8,ce qui s'était passé pendant la,4
signaler,207,fille que,235,chez les peuples,83,il y a chez,24,la nature des choses et,8,ramasse en une quand il le,4
dossier,207,d'abord à,235,elle avait les,83,de tous les corps,24,les animaux à sang chaud,8,à propos de je ne sais,4
grossière,207,pénétrer dans,235,et à un,83,eut beaucoup de peine,24,n'était plus facile que de,8,qu'une vive appréhension qu'on ne nous,4
potage,207,des premières,235,et non à,83,sur le lit et,24,et tous deux se mirent,8,de ce que je fais et,4
girard,207,de et,235,le chef des,83,après lui avoir fait,24,le marquis de croismare à,8,ce que je sais de lui,4
résiste,207,des chemins,235,de mes parents,83,ne faut-il pas que,24,de tous les hommes de,8,autres et à eux-mêmes les vrais,4
respecte,207,ou plus,235,à mettre en,83,est celle de la,24,de douze mille yards par,8,e départements de à  e,4
peres,207,fond d'une,235,sur les pentes,83,le prince de guermantes,24,çà et là sur les,8,l'un et l'autre de ces deux,4
saincte,207,un exemple,235,chose que de,83,vous ne pourriez pas,24,vo et  ms de,8,manière la plus simple et la,4
éloge,207,a droite,235,nous sommes dans,83,de la race de,24,il est donc évident que,8,ses vagues continuelles une fidèle expression,4
correction,207,trouve que,235,était un des,83,le seul but de,24,dont ils se servent pour,8,de temps en temps ses yeux,4
merveilleusement,207,contraire de,235,bout de deux,83,en italie et en,24,de la vie il faut,8,à toute heure de la nuit,4
sabres,207,c'est aussi,235,bout de trois,83,dans les grandes occasions,24,vous ne comprenez donc pas,8,la plus ardente et la plus,4
hollandais,207,parties du,235,ce moment on,83,ce jeune homme est,24,dans un temps où l'on,8,l'amour de la patrie et de,4
vocation,207,est sur,235,c'est le seul,83,se mettre à genoux,24,je n'ai plus qu'à me,8,vous l'ai déjà dit et je,4
vertueuse,207,ces jours,235,ce moment et,83,ne peux pas me,24,les dames de la ville,8,sous ce point de vue les,4
fut-il,207,toujours il,235,tout cela se,83,ne tenait pas à,24,de ce qu'il venait de,8,et de la manière la plus,4
fiche,207,il m'est,234,les malheurs de,83,par la voix de,24,au moment de se mettre,8,souvent avenir aussi bien au fol,4
économies,207,de prison,234,bien sûr que,83,faire tout ce que,24,de mme la duchesse de,8,qui donnait dans la chambre de,4
henry,207,est dit,234,ainsi à la,83,un coup de marteau,24,une photographie de m j,8,et calme comme le couvercle d'une,4
morhange,206,et quelque,234,c'est dans cette,83,cents francs par an,24,chemin de fer d'intérêt local,8,latines qui tintaient comme un glas,4
furieusement,206,vie mais,234,plus dans le,83,de la france les,24,ou pour mieux dire une,8,vicomte et la vicomtesse de briseville,4
d'olonne,206,pauvre homme,234,de grosses larmes,83,le commandant de la,24,me prit à part et,8,ne douta pas un instant que,4
accusait,206,de haine,234,vous je ne,83,et qui avait été,24,mon dieu mon dieu murmura,8,mais vous ne savez donc pas,4
l'huile,206,j'ai déjà,234,coup de main,83,n'était pas la première,24,le plus beau jour de,8,quartier-général à passeriano le e jour,4
courtoisie,206,la pauvreté,234,debout sur le,83,tout à fait au,24,tous les intérêts de la,8,la mort ôte quelque chose à,4
extérieurs,206,chose comme,234,ne connaissais pas,83,de se servir de,24,à la tête de ce,8,ne nous plaît tant que la,4
l'entretien,206,de champagne,234,enfin il se,83,se croisa les bras,24,un coup de pied dans,8,dans sa chambre les préparatifs pour,4
praxi-blassans,206,pour passer,234,tous les vices,83,de la maison d'autriche,24,peu de jours après le,8,plus de confiance en vous que,4
âgée,206,parler des,234,la vie sociale,83,de deux mille francs,24,de la mort de ma,8,de justice le fils du soleil,4
solennité,206,le talent,234,vous avez à,83,cents pièces de canon,24,eh bien qu'est-ce que cela,8,avait tout ce qu'il fallait pour,4
essentielle,206,nom à,234,affaire à un,83,la tête de cette,24,je ne l'ai plus revu,8,savoir le détail des choses et,4
répondirent,206,qui plus,234,question de la,83,vient de le voir,24,il était à peu près,8,dire qu'il n'y a point d'heureux,4
bonhomie,206,depuis des,234,n'est pas comme,83,tous les deux dans,24,sans doute il y a,8,comment prétendons-nous qu'un autre garde notre,4
abandonnés,206,le janvier,234,c'est la plus,83,cent mille francs par,24,c'est lui qui a fait,8,sont des habiletés et que prendre,4
atteignit,206,chacun se,234,la garde impériale,83,à tout ce qu'on,24,samedi décembre à huit heures,8,ce ne fut pas sans une,4
célestes,206,m et,234,de mettre à,83,raison de ne pas,24,la cour à la ville,8,tous les pays de la terre,4
méditations,206,la critique,234,de huit jours,83,et quand il eut,24,y en avait de toutes,8,le plaisir de changer que le,4
démontré,206,grandeur de,234,pour la nuit,83,à peu près et,24,il n'y a encore que,8,n'est que la vanité de donner,4
polignac,206,avait parlé,234,son temps et,83,toutes les jeunes filles,24,qui portent le nom de,8,il fait quelquefois en peu de,4
l'indifférence,206,le calcul,234,s'il est possible,83,est un de ceux,24,du passé et de l'avenir,8,remercie des sentimens que vous m'exprimez,4
toises,206,trois hommes,234,la reine le,83,la prospérité de la,24,pour le moins autant de,8,deux ou trois fois par semaine,4
mené,206,fils d'un,234,sous la porte,83,au moment de partir,24,le coin le plus obscur,8,vous avez besoin de moi vous,4
constituer,206,de champlain,234,dans sa mémoire,83,le duc de rivoli,24,trois ou quatre lieues de,8,à tout ce qui se passait,4
neiges,206,les passants,234,de la bande,83,que nous venions de,24,de la france de la,8,le plus grand baiser d'amour qu'elle,4
appartenir,206,donné une,234,de la chaîne,83,des choses qui sont,24,la main sur le bouton,8,que le poirier le meilleur du,4
âne,206,quoique je,234,d'une femme qui,83,fit signe que oui,24,de quatre cent mille francs,8,français ne sont pas seulement sujets,4
menu,205,parla de,234,un marchand de,83,je te l'ai dit,24,ce que vous voudrez je,8,qu'il faut et à ne dire,4
nommés,205,grands et,234,je le ferai,83,de soie et de,24,au risque de se faire,8,sa profondeur de son discernement de,4
parlais,205,douceur et,234,comme il vous,83,le prit par la,24,se mit à sourire et,8,sujet de là vient qu'il croit,4
l'imitation,205,nord et,234,il s'approcha de,83,non je ne suis,24,le principe des vitesses virtuelles,8,à passeriano le vendémiaire an er,4
hésita,205,le progrès,234,en france en,83,le premier soin de,24,le but de la vie,8,à la disposition de la commission,4
romanesque,205,ma faute,234,ce qui reste,83,y en a eu,24,cette partie de la côte,8,il s'en faut de beaucoup que,4
occupation,205,mon bon,234,vous êtes trop,83,à lui tout seul,24,que la moitié de la,8,sa chambre les préparatifs pour le,4
torts,205,par votre,234,dit qu'il était,83,sur ses lèvres et,24,de fer-blanc et de fer,8,de crainte dont nous faisons une,4
riaient,205,sa patrie,234,préfet de police,83,est un homme de,24,dans le bois de boulogne,8,que nous ne pouvons le faire,4
poules,205,elle semblait,234,m de luxembourg,83,ne faut pas vous,24,au prince de la paix,8,enquête t ii p léon bourgeois,4
verrières,205,roi à,234,de son cabinet,83,le temps de nous,24,en se rapprochant de la,8,que la grandeur de l'esprit lequel,4
n'aurez,205,connaître la,234,sur les joues,83,mais nous ne sommes,24,je ne sais quoi dans,8,sur la banquette de la caisse,4
nuée,205,voudrais bien,234,qui avait le,83,je me demande si,24,dans la chapelle du château,8,il eut le temps de se,4
propreté,205,appris à,234,un valet de,83,eu la pensée de,24,il est difficile de se,8,releva pour prendre le crucifix alors,4
rapportait,205,depuis son,234,le commerce des,83,dans cette partie du,24,je regrette de n'avoir pas,8,comme je vous l'ai dit je,4
valu,205,pour laquelle,234,au moins la,83,jeté un coup d'oeil,24,mais tout à coup il,8,le plus sage de tous les,4
triangle,205,sans qu'elle,234,ouvrir la porte,83,la main à sa,24,de la lune de miel,8,qui est hors de lui en,4
embrassa,205,jour pour,234,du coeur et,83,de pied dans le,24,des nouvelles de sa santé,8,raison mais celui qui la connaît,4
individuelle,205,honte et,234,pour avoir des,83,et quand elle fut,24,et plus que tout cela,8,le comte de la fère c'est,4
grecques,205,peuvent se,234,dit athos en,83,le compte de la,24,la seule chose que je,8,et les différents peuples doivent s'entr'aider,4
louis-philippe,205,une salle,234,devant la fenêtre,83,depuis deux ou trois,24,ce n'en est pas moins,8,tête à la main dont je,4
prenons,205,oui mais,234,mesure que les,83,à la portée du,24,mère je t'embrasse de tout,8,il y aurait peut-être moyen de,4
s'ouvre,205,faculté de,234,ils sont en,83,il venait de se,24,ne vois pas ce que,8,il se mit à la besogne,4
personnelles,205,à lyon,234,toutes les peines,83,la nature de ses,24,la main que lui tendait,8,n'avait pas eu de peine à,4
gaîté,205,tant mieux,233,nous a fait,83,celui de tous les,24,de ne pas perdre de,8,que ses desseins rien de si,4
souriante,205,faire comprendre,233,pour lui de,83,avec un jeune homme,24,il ne me reste que,8,de vivre dès qu'il cesse d'espérer,4
accueil,204,votre vie,233,elle a un,83,et la force de,24,en avant voir note à,8,chasser aux eslans & autres bestes,4
connoissance,204,siège de,233,que c'est pour,83,et il ne fut,24,dans le milieu de la,8,est difficile de tromper les autres,4
clientèle,204,sans trop,233,ce qu'il fit,83,le travail de la,24,ne voyez donc pas que,8,peu de gens qui paraissent raisonnables,4
choisie,204,eux ils,233,la vieille fille,83,que nous nous faisons,24,à la fois dans la,8,en soit il est certain que,4
quais,204,mer de,233,c'est dans le,83,à la conservation de,24,figpng expérience de suggestibilité sur,8,la hauteur de ce lieu qui,4
paroi,204,vu les,233,jours après la,83,de ne pas y,24,en son lieu et place,8,mais ça n'a pas été sans,4
d'octobre,204,la bride,233,pour moi la,83,de tout cela ne,24,que je ne serai pas,8,vas me faire le plaisir de,4
descendants,204,ici je,233,et avec le,83,et que l'on ne,24,le coeur battant à grands,8,il y avait plus de trente,4
rosée,204,que ton,233,on m'a dit,83,à voix basse il,24,de paléontologie humaine de m,8,son chapeau sur sa tête et,4
réglé,204,vue et,233,en matière de,83,de la maison pour,24,qu'il ne l'avait jamais été,8,coup on entendit sur le trottoir,4
rides,204,ta mère,233,un petit homme,83,à tout le moins,24,comment se fait-il que je,8,surtout n'ont point ôté les crimes,4
culotte,204,quelle que,233,il les a,83,de la montagne de,24,la maison il y avait,8,mon cueur qui est maistre de,4
rationnelle,204,de mauvaise,233,la france la,83,et si vous avez,24,les deux à la fois,8,chose de mieux à faire que,4
successeurs,204,fait si,233,ne peuvent se,83,je me suis servi,24,mme de grignan a vichy,8,tout mettre à feu et à,4
résidence,204,au jardin,233,grands coups de,83,la lettre de m,24,eusèbe hist eccl iii ,8,il n'en est pas ainsi de,4
fuyant,204,ça vous,233,releva la tête,83,ne se lassait pas,24,le père la mère et,8,et de temps à autre elle,4
cime,204,que l'auteur,233,et la nature,83,sous les yeux un,24,si je ne voulais pas,8,sait pas ce qui peut arriver,4
pôle,204,heureux que,233,la mer du,83,toute la nuit et,24,ne faut pas perdre de,8,ce qui luy estoit necessaire pour,4
favorables,204,lui paraissait,233,vers onze heures,83,à chaque instant il,24,la clef de la chambre,8,bonne paix que brief dieu nous,4
radieux,204,douleur de,233,bout de sa,83,de mme de châteaufort,24,je ne veux plus être,8,si la porte était fermée puis,4
inconvénients,204,qu'il doit,233,madame de beaumont,83,que c'est vous qui,24,en tenant à la main,8,comptes rendus de l'académie des sciences,4
sûrs,204,baie de,233,portes de la,83,les yeux et le,24,à mortier au parlement de,8,protée des fables n'a jamais été,4
sexes,203,à aller,233,et je dois,83,de père et de,24,et pour ce je vous,8,oeuvres de champlain publiées sous le,4
feriez,203,l'une et,233,on lui dit,83,la cour des sessions,24,que vous me voyez je,8,se je ne fais une dame,4
demandais,203,jamais dans,233,sont à la,83,en se dirigeant vers,24,qu'il y en a une,8,et je me suis dit que,4
restées,203,moins une,233,et c'est un,83,pour arriver à ce,24,à une lieue & demie,8, au général desaix je vous,4
enfer,203,manquer de,233,petite ville de,83,des grecs et des,24,une certaine distance de la,8,de nos fortunes et de nos,4
rangée,203,de mai,233,la division du,83,plus en plus les,24,en faisant un pas en,8,a pas moins de différence entre,4
tourmenté,203,fit entendre,233,en est la,83,citoyen général votre lettre,24,à peu de distance du,8,lors même qu'il renonce à la,4
résolutions,203,à courir,233,de ce corps,83,au-dessus de tout ce,24,de quoi il est question,8,ce que vous me faites l'honneur,4
imprudence,203,son ouvrage,233,la cité de,83,se tournant vers sa,24,un grand nombre de personnes,8,les bonnes qualités des autres que,4
jet,203,on lit,233,il fallait donc,83,pour le roi de,24,ce qui est en haut,8,nature ou forme ou essence déterminée,4
traîne,203,lui avec,233,la qualité de,83,il allait et venait,24,et au milieu du silence,8,elle tira de sa poche une,4
mousquetaire,203,de l'âge,233,y avait déjà,83,le prince de ponte-corvo,24,au vu et au su,8,amoureuses puis sur la bouche qui,4
gardaient,203,vallée du,233,tandis que de,83,don fernand de tolède,24,la raison en est que,8,de la tête et de la,4
ferdinand,203,là tout,232,pour les deux,83,il n'est pas permis,24,la résolution numérique des équations,8,acharnement sur ses traces au milieu,4
recette,203,dit alors,232,pas trop de,83,du droit des gens,24,voilà ce que je voulais,8,vous devez avoir reçu citoyen général,4
l'appel,203,s'était passé,232,ne se serait,83,le lendemain dans la,24,mon cher monsieur de rochefort,8,baisant la main de sa femme,4
diversité,203,les généraux,232,et comme ils,83,le mal de mer,24,et le point de vue,8,les uns sur les autres qui,4
sommets,203,une grâce,232,en échange de,83,prince de condé et,24,toutes les branches de la,8,sur le bord d'un petit lac,4
s'expliquer,203,le rideau,232,la beauté du,82,il ne faut que,24,tous les secrets de la,8,mon conducteur de mensonge & n'avoir,4
consistait,203,cette loi,232,sur laquelle il,82,tous les hommes sont,24,en or et en argent,8,à pair de france de à,4
abandon,203,cette journée,232,sa femme le,82,la santé de la,24,indiens de l'amérique du nord,8,appartient ou que nous croyons nous,4
partagé,203,de neuf,232,la forme et,82,mesdames et bonnes amies,24,le soleil venait de se,8,à ce point de vue les,4
croisées,203,davantage et,232,ses lèvres et,82,la jeune fille était,24,que c'est moi qui suis,8,pour avoir le plaisir de le,4
cède,203,lequel je,232,les plaines de,82,le duc de normandie,24,il y en a des,8,je ne veux pas de vous,4
xxi,203,proche de,232,avec son père,82,mort il y a,24,dans un pays où il,8,et dans toutes les conditions il,4
crises,202,ensuite à,232,la masse des,82,b fo vo ms,24,que je le suis de,8,coutume que nous avons de nous,4
couvrent,202,france à,232,de mettre le,82,celui que nous avons,24,la méthode infinitésimale proprement dite,8,leurs postes enfin il s'en trouve,4
falaise,202,quitter le,232,seulement de la,82,et avec plus de,24,descouvertures de la coste des,8,veut pas se donner la peine,4
m'étonne,202,vérité et,232,à manger et,82,lettres de madame de,24,de temps qu'il n'en faut,8,et mahomet est son prophète au,4
entraîne,202,en de,232,les lettres et,82,prit par la main,24,le chef de la maison,8,il ne faut donc pas s'étonner,4
passez,202,pas votre,232,de force pour,82,à la porte d'une,24,expérience sur l'esprit de groupe,8,particuliers de ceux qui les font,4
